0,1,2,3,4,5,6
rescal,sentbert,17,0.001,,0.4549853130360146,0.0033758689193436743
rescal,sentbert,91193,0.001,,0.4548693261997887,0.003450665966689618
rotate,dct1,17,0.001,,0.34162288844398064,0.004683868567155325
rotate,dct1,91193,0.001,,0.341637379693604,0.004883757075014493
rotate,dct2,17,0.001,,0.37739939657833327,0.0057661756387263
rotate,dct2,91193,0.001,,0.37733499121032094,0.006049612326345268
rotate,dct3,17,0.001,,0.4457519174702697,0.003195544872463106
rotate,dct3,91193,0.001,,0.4458844163756008,0.0033158594785463623
rotate,gem,17,0.001,,9.289981731233155e-16,2.9377499015003036e-14
rotate,gem,91193,0.001,,5.532260201189016e-20,1.2388235895381937e-18
rotate,glove,17,0.001,,0.0849223898640931,0.0016772587355725103
rotate,glove,91193,0.001,,0.08487648097092225,0.001635321960296181
rotate,laser,17,0.001,,0.0054187669441451815,0.00013091439471542496
rotate,laser,91193,0.001,,0.005412105603348658,0.00013186450435993653
rotate,random,17,0.001,,0.271067988501841,0.003952539456544791
rotate,random,91193,0.001,,0.27127033292317776,0.003814068207332874
rotate,sentbert,17,0.001,,0.45491573861491585,0.0033790348597005195
rotate,sentbert,91193,0.001,,0.45479940337420616,0.003447936330274851
transe,dct1,17,0.001,,0.34150802364941496,0.0046898269558522014
transe,dct1,91193,0.001,,0.3415302748037473,0.004892297553429295
transe,dct2,17,0.001,,0.37744113022247433,0.0057607370934893145
transe,dct2,91193,0.001,,0.3773806084858266,0.006043680577669335
transe,dct3,17,0.001,,0.44581322733385337,0.0031962369937132687
transe,dct3,91193,0.001,,0.4459431381953331,0.003318069512461173
transe,gem,17,0.001,,8.595624819714219e-16,2.7181749568020918e-14
transe,gem,91193,0.001,,6.012906155404274e-20,1.3456157903812014e-18
transe,glove,17,0.001,,0.08483395659943871,0.001673971014623705
transe,glove,91193,0.001,,0.08479017011077128,0.0016415868468712081
transe,laser,17,0.001,,0.005271609071586678,0.0001291868534119321
transe,laser,91193,0.001,,0.005264926820941901,0.00013074595076985486
transe,random,17,0.001,,0.27107248572186116,0.00395261303951948
transe,random,91193,0.001,,0.2712742081432249,0.0038131804980936538
transe,sentbert,17,0.001,,0.45494830304188266,0.0033760636230603658
transe,sentbert,91193,0.001,,0.45483170707648907,0.00345170603190205
