0,1,2,3,4,5,6
complex,dct1,17,0.001,,0.004013884141045566,0.00035397095980088086
complex,dct1,91193,0.001,,0.004003066379218871,0.0003459700594114497
complex,dct2,17,0.001,,0.01657951561155612,0.001139315158725921
complex,dct2,91193,0.001,,0.016535468766085564,0.0011512378061591015
complex,dct3,17,0.001,,0.036326545470581936,0.001879542038749082
complex,dct3,91193,0.001,,0.03628195956066543,0.0018958357126129559
complex,gem,17,0.001,,0.0,0.0
complex,gem,91193,0.001,,0.0,0.0
complex,glove,17,0.001,,8.33564934312384e-06,1.8711993722049257e-06
complex,glove,91193,0.001,,8.555118097921264e-06,1.8464802296700335e-06
complex,laser,17,0.001,,1.603579846990471e-07,1.9193890735061453e-08
complex,laser,91193,0.001,,1.5902783798715658e-07,1.937392692567277e-08
complex,random,17,0.001,,1.090369329925668e-223,0.0
complex,random,91193,0.001,,1.2251600217814404e-220,0.0
complex,sentbert,17,0.001,,0.07791950966920062,0.004159587647881837
complex,sentbert,91193,0.001,,0.07816120833568296,0.004171076556924862
conve,dct1,17,0.001,,0.0040477348954915905,0.000355539793118078
conve,dct1,91193,0.001,,0.004036767019702244,0.00034763136983162886
conve,dct2,17,0.001,,0.016650539717862768,0.0011416258208460873
conve,dct2,91193,0.001,,0.01660615393800188,0.001153816891519966
conve,dct3,17,0.001,,0.03643379670968348,0.001882083656110866
conve,dct3,91193,0.001,,0.03638878563703873,0.0018988505821505477
conve,gem,17,0.001,,0.0,0.0
conve,gem,91193,0.001,,0.0,0.0
conve,glove,17,0.001,,9.828914880607566e-06,1.988967635103255e-06
conve,glove,91193,0.001,,1.005888864660309e-05,1.96210410788216e-06
conve,laser,17,0.001,,2.085809092739213e-08,2.3020300234108923e-09
conve,laser,91193,0.001,,2.0721197015735798e-08,2.315566736873332e-09
conve,random,17,0.001,,1.0910874096694704e-223,0.0
conve,random,91193,0.001,,1.2259584486792132e-220,0.0
conve,sentbert,17,0.001,,0.078077683130133,0.004163484967265568
conve,sentbert,91193,0.001,,0.07831910337106701,0.004175179007629047
distmult,dct1,17,0.001,,0.004012710248015597,0.0003538891244974026
distmult,dct1,91193,0.001,,0.004001904422515769,0.00034595988554594816
distmult,dct2,17,0.001,,0.016577049532395208,0.00113917111456694
distmult,dct2,91193,0.001,,0.016533027406760548,0.0011512555866290547
distmult,dct3,17,0.001,,0.0363228210429328,0.0018793668921292335
distmult,dct3,91193,0.001,,0.036278267345008434,0.0018958829491027994
distmult,gem,17,0.001,,0.0,0.0
distmult,gem,91193,0.001,,0.0,0.0
distmult,glove,17,0.001,,8.287276212032684e-06,1.8661721692595207e-06
distmult,glove,91193,0.001,,8.506828648024768e-06,1.8442963443087259e-06
distmult,laser,17,0.001,,1.6881528713775104e-07,2.012345501785209e-08
distmult,laser,91193,0.001,,1.6736973210691446e-07,2.0004381529919043e-08
distmult,random,17,0.001,,1.0903265130593294e-223,0.0
distmult,random,91193,0.001,,1.2251587205401131e-220,0.0
distmult,sentbert,17,0.001,,0.07791401606249863,0.0041594097831649385
distmult,sentbert,91193,0.001,,0.07815574520888074,0.004170977576329769
rescal,dct1,17,0.001,,0.004030072385433817,0.0003547173296666154
rescal,dct1,91193,0.001,,0.0040191513057184595,0.00034676840160572547
rescal,dct2,17,0.001,,0.016613506358747844,0.0011403742862929336
rescal,dct2,91193,0.001,,0.016569233396691342,0.001152510706793458
rescal,dct3,17,0.001,,0.03637788530519967,0.0018806885194249422
rescal,dct3,91193,0.001,,0.03633299803164808,0.0018973215656124722
rescal,gem,17,0.001,,0.0,0.0
rescal,gem,91193,0.001,,0.0,0.0
rescal,glove,17,0.001,,9.02699026001043e-06,1.92778330316861e-06
rescal,glove,91193,0.001,,9.25030254176885e-06,1.9028182283012268e-06
rescal,laser,17,0.001,,6.973572069701695e-08,9.181869840153457e-09
rescal,laser,91193,0.001,,6.926580878660802e-08,9.214504033807784e-09
